Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price,Engine size_win,Year of manufacture_win,Mileage_win,Price_win
Ford,Fiesta,1.0,Petrol,2002,127300,3074,1.0,2002,127300.0,3074.0
Porsche,718 Cayman,4.0,Petrol,2016,57850,49704,2.9000000000000004,2016,57850.0,42975.125
Ford,Mondeo,1.6,Diesel,2014,39190,24072,1.6,2014,39190.0,24072.0
Toyota,RAV4,1.8,Hybrid,1988,210814,1705,1.8,1988,210814.0,1705.0
VW,Polo,1.0,Petrol,2006,127869,4101,1.0,2006,127869.0,4101.0
Ford,Focus,1.4,Petrol,2018,33603,29204,1.4,2018,33603.0,29204.0
Ford,Mondeo,1.8,Diesel,2010,86686,14350,1.8,2010,86686.0,14350.0
Toyota,Prius,1.4,Hybrid,2015,30663,30297,1.4,2015,30663.0,30297.0
VW,Polo,1.2,Petrol,2012,73470,9977,1.2,2012,73470.0,9977.0
Ford,Focus,2.0,Diesel,1992,262514,1049,2.0,1992,262514.0,1049.0
VW,Golf,2.0,Diesel,2014,83047,17173,2.0,2014,83047.0,17173.0
BMW,Z4,2.0,Petrol,1990,293666,719,2.0,1990,293666.0,719.0
VW,Golf,1.2,Diesel,2007,92697,7792,1.2,2007,92697.0,7792.0
Toyota,RAV4,2.2,Petrol,2007,79393,16026,2.2,2007,79393.0,16026.0
Toyota,Yaris,1.4,Petrol,1998,97286,4046,1.4,1998,97286.0,4046.0
VW,Golf,1.6,Diesel,1989,222390,933,1.6,1989,222390.0,933.0
Toyota,RAV4,2.4,Hybrid,2003,117425,11667,2.4,2003,117425.0,11667.0
Toyota,Yaris,1.2,Petrol,1992,245990,720,1.2,1992,245990.0,720.0
Toyota,RAV4,2.0,Hybrid,2018,28381,52671,2.0,2018,28381.0,42975.125
VW,Polo,1.2,Petrol,1998,155038,2118,1.2,1998,155038.0,2118.0
VW,Golf,1.2,Hybrid,1987,121744,1890,1.2,1987,121744.0,1890.0
Ford,Mondeo,1.6,Diesel,1996,77584,5667,1.6,1996,77584.0,5667.0
Toyota,Prius,1.0,Hybrid,2003,115291,6512,1.0,2003,115291.0,6512.0
